symbol,direction,entry_time,exit_time,entry_price,exit_price,position_size,pnl,exit_reason,enter_tag,exit_tag,tp1_price,tp1_time,tp1_exit_reason,tp2_price,tp2_time,tp1_pnl,pnl_points,pnl_usd,capital
GBPUSD,long,2025-05-12 08:15:00+00:00,2025-05-12 09:30:00+00:00,1.32793,1.3293300000000001,1.0,0.0014000000000000679,TP2_RR_5,OB,TP2_RR_5,1.3293300000000001,2025-05-12 09:30:00+00:00,TP1_TP1_ATR,1.3296166132964118,2025-05-12 09:30:00+00:00,0.0007000000000000339,0.0014000000000000679,105.42724390593388,100105.42724390593
USDCAD,long,2025-05-12 11:55:00+00:00,2025-05-12 13:30:00+00:00,1.39564,1.3979300000000001,1.0,0.0022900000000001253,bearish_lqs,FVG,bearish_lqs,,,,,,,0.0022900000000001253,164.08242813333848,100269.50967203928
USDCHF,long,2025-05-12 12:25:00+00:00,2025-05-12 13:30:00+00:00,0.84153,0.84632,1.0,0.004789999999999961,TP2_RR_5,FVG,TP2_RR_5,0.84632,2025-05-12 13:30:00+00:00,TP1_TP1_ATR,0.8466700791043011,2025-05-12 13:30:00+00:00,0.0023949999999999805,0.004789999999999961,569.2013356624198,100838.7110077017
USDJPY,long,2025-05-12 16:20:00+00:00,2025-05-12 19:20:00+00:00,147.865,148.248,1.0,0.38299999999998136,bearish_lqs,OB,bearish_lqs,,,,,,,0.38299999999998136,259.0200520745148,101097.73105977621
USDJPY,long,2025-05-12 16:35:00+00:00,2025-05-12 19:20:00+00:00,147.882,148.248,1.0,0.36599999999998545,bearish_lqs,BREAKER,bearish_lqs,,,,,,,0.36599999999998545,247.49462409217176,101345.22568386838
AUDNZD,long,2025-05-12 10:30:00+00:00,2025-05-12 20:10:00+00:00,1.0888,1.0869,1.0,-0.0019000000000000128,bearish_lqs,FVG,bearish_lqs,,,,,,,-0.0019000000000000128,-174.5040411462172,101170.72164272216
AUDNZD,long,2025-05-12 14:30:00+00:00,2025-05-12 20:10:00+00:00,1.08768,1.0869,1.0,-0.0007800000000000029,bearish_lqs,FVG_OB,bearish_lqs,,,,,,,-0.0007800000000000029,-71.71226831421033,101099.00937440795
AUDNZD,long,2025-05-12 14:40:00+00:00,2025-05-12 20:10:00+00:00,1.08758,1.0869,1.0,-0.0006800000000000139,bearish_lqs,BREAKER_FVG,bearish_lqs,,,,,,,-0.0006800000000000139,-62.52413615550249,101036.48523825246
USDCHF,long,2025-05-12 16:40:00+00:00,2025-05-12 20:15:00+00:00,0.84117,0.84564,1.0,0.004469999999999974,TP2_RR_5,FVG_OB,TP2_RR_5,0.84564,2025-05-12 20:15:00+00:00,TP1_TP1_ATR,0.8448886035132774,2025-05-12 20:15:00+00:00,0.002234999999999987,0.004469999999999974,531.4026891115915,101567.88792736403
USDCHF,long,2025-05-12 15:45:00+00:00,2025-05-12 20:30:00+00:00,0.84182,0.84642,1.0,0.0045999999999999375,TP2_RR_5,FVG,TP2_RR_5,0.84642,2025-05-12 20:30:00+00:00,TP1_TP1_ATR,0.8458647596101881,2025-05-12 20:30:00+00:00,0.0022999999999999687,0.0045999999999999375,546.4351048917746,102114.32303225581
AUDNZD,long,2025-05-12 20:45:00+00:00,2025-05-12 20:55:00+00:00,1.08689,1.087,1.0,0.0001100000000000545,TP2_HH_15_H1,FVG,TP2_HH_15_H1,,,,1.08695,2025-05-12 20:55:00+00:00,,0.0001100000000000545,10.120619381911187,102124.44365163773
AUDNZD,long,2025-05-12 20:50:00+00:00,2025-05-12 20:55:00+00:00,1.08687,1.087,1.0,0.00012999999999996348,TP2_HH_15_H1,FVG_FVG_H1,TP2_HH_15_H1,,,,1.08695,2025-05-12 20:55:00+00:00,,0.00012999999999996348,11.960952091783147,102136.4046037295
AUDNZD,long,2025-05-12 21:10:00+00:00,2025-05-12 21:20:00+00:00,1.08693,1.08699,1.0,5.999999999994898e-05,TP2_HH_15_H1,FVG,TP2_HH_15_H1,,,,1.08695,2025-05-12 21:20:00+00:00,,5.999999999994898e-05,5.520134691281775,102141.92473842078
AUDNZD,long,2025-05-12 20:55:00+00:00,2025-05-12 22:50:00+00:00,1.087,1.0869,1.0,-9.999999999998899e-05,bearish_lqs,FVG_H1,bearish_lqs,,,,,,,-9.999999999998899e-05,-9.199632014718398,102132.72510640607
AUDNZD,long,2025-05-12 21:20:00+00:00,2025-05-12 22:50:00+00:00,1.08699,1.0869,1.0,-8.999999999992347e-05,bearish_lqs,FVG,bearish_lqs,,,,,,,-8.999999999992347e-05,-8.279744983847458,102124.44536142223
AUDNZD,long,2025-05-12 21:25:00+00:00,2025-05-12 22:50:00+00:00,1.087,1.0869,1.0,-9.999999999998899e-05,bearish_lqs,FVG_FVG_H1,bearish_lqs,,,,,,,-9.999999999998899e-05,-9.199632014718398,102115.2457294075
AUDNZD,long,2025-05-12 22:50:00+00:00,2025-05-12 23:00:00+00:00,1.0869,1.08731,1.0,0.00041000000000002146,TP2_HH_15_H1,FVG,TP2_HH_15_H1,,,,1.08695,2025-05-12 23:00:00+00:00,,0.00041000000000002146,37.721961542002155,102152.9676909495
AUDNZD,long,2025-05-13 00:45:00+00:00,2025-05-13 01:25:00+00:00,1.08779,1.08801,1.0,0.00021999999999988695,bearish_lqs,FVG,bearish_lqs,,,,,,,0.00021999999999988695,20.224491859631634,102173.19218280914
AUDNZD,long,2025-05-12 23:55:00+00:00,2025-05-13 01:25:00+00:00,1.08793,1.08801,1.0,7.999999999985796e-05,bearish_lqs,FVG_H1,bearish_lqs,,,,,,,7.999999999985796e-05,7.353414282155834,102180.5455970913
USDCAD,long,2025-05-12 23:15:00+00:00,2025-05-13 02:40:00+00:00,1.39757,1.3971738093558848,1.0,-0.0003961906441152241,SL_sl_atr_OB,OB,SL_sl_atr_OB,,,,,,,-0.0003961906441152241,-28.34853668261512,102152.19706040868
USDCAD,long,2025-05-12 23:20:00+00:00,2025-05-13 02:40:00+00:00,1.39764,1.3971778229733216,1.0,-0.0004621770266783898,SL_sl_atr_BREAKER,BREAKER,SL_sl_atr_BREAKER,,,,,,,-0.0004621770266783898,-33.068388617840775,102119.12867179084
USDJPY,long,2025-05-13 02:40:00+00:00,2025-05-13 03:00:00+00:00,148.286,148.2255895009873,1.0,-0.06041049901270412,SL_sl_atr_OB,OB,SL_sl_atr_OB,,,,,,,-0.06041049901270412,-40.7391790274902,102078.38949276335
USDJPY,long,2025-05-13 02:45:00+00:00,2025-05-13 03:05:00+00:00,148.232,148.1309759652025,1.0,-0.10102403479749,SL_sl_atr_BREAKER_OB,BREAKER_OB,SL_sl_atr_BREAKER_OB,,,,,,,-0.10102403479749,-68.15264908892142,102010.23684367443
USDCHF,long,2025-05-13 00:00:00+00:00,2025-05-13 03:05:00+00:00,0.84476,0.8439804399255985,1.0,-0.0007795600744014974,SL_sl_atr_BREAKER,BREAKER,SL_sl_atr_BREAKER,,,,,,,-0.0007795600744014974,-92.28184033352639,101917.9550033409
USDCHF,long,2025-05-12 23:55:00+00:00,2025-05-13 03:05:00+00:00,0.84458,0.844183550689106,1.0,-0.00039644931089399815,SL_sl_atr_OB,OB,SL_sl_atr_OB,,,,,,,-0.00039644931089399815,-46.94040954012623,101871.01459380078
AUDNZD,long,2025-05-13 01:30:00+00:00,2025-05-13 04:35:00+00:00,1.08798,1.08826,1.0,0.000280000000000058,TP2_double_HH_15,FVG_H1,TP2_double_HH_15,1.08826,2025-05-13 04:35:00+00:00,TP1_HH_15,1.0883000000000003,2025-05-13 04:35:00+00:00,0.000140000000000029,0.000280000000000058,25.7357672016083,101896.75036100239
AUDNZD,long,2025-05-13 01:35:00+00:00,2025-05-13 04:35:00+00:00,1.0879,1.08826,1.0,0.00035999999999991594,TP2_double_HH_15,FVG,TP2_double_HH_15,1.08826,2025-05-13 04:35:00+00:00,TP1_HH_15,1.0883800000000001,2025-05-13 04:35:00+00:00,0.00017999999999995797,0.00035999999999991594,33.09127677175438,101929.84163777414
AUDNZD,long,2025-05-13 05:40:00+00:00,2025-05-13 07:50:00+00:00,1.08706,1.089,1.0,0.0015700000000000713,TP2_RR_5,FVG,TP2_RR_5,1.08826,2025-05-13 07:10:00+00:00,TP1_HH_15,1.089046881406039,2025-05-13 07:50:00+00:00,0.0006000000000000449,0.0015700000000000713,144.42625062094746,102074.26788839509
